SUBSCRIBER_ID,TARIFF_PLAN_ID_FROM,TARIFF_PLAN_ID_TO,CHANGE_MONTH
1,2,3,2017-03
2,1,5,2017-06
3,1,5,2017-04
4,3,5,2017-01
5,1,5,2017-05
6,1,5,2017-01
7,3,5,2017-05
8,3,4,2017-02
9,3,4,2017-02
10,1,5,2017-04
11,3,5,2017-05
12,3,5,2017-06
13,4,5,2017-06
14,3,5,2017-04
15,3,5,2017-06
16,1,5,2017-06
17,3,5,2017-01
18,3,5,2017-04
19,2,5,2017-03
20,2,4,2017-02
21,3,5,2017-03
22,3,5,2017-02
23,3,4,2017-03
23,4,5,2017-05
24,3,5,2017-05
25,1,5,2017-06
26,3,5,2017-03
27,2,5,2017-03
28,1,5,2017-01
29,1,5,2017-05
30,1,5,2017-01
31,5,4,2017-01
32,3,5,2017-06
33,5,1,2017-05
34,3,5,2017-06
35,3,5,2017-05
36,3,5,2017-03
37,3,5,2017-04
38,1,5,2017-01
39,1,5,2017-05
40,2,4,2017-03
41,1,5,2017-06
42,3,5,2017-06
43,1,4,2017-04
44,3,4,2017-02
45,3,5,2017-02
46,3,5,2017-04
47,3,5,2017-06
48,3,4,2017-04
48,4,5,2017-06
49,4,5,2017-06
50,1,5,2017-04
51,2,5,2017-04
52,3,5,2017-05
53,1,4,2017-01
54,1,5,2017-05
55,3,5,2017-02
56,3,5,2017-05
57,1,5,2017-04
58,3,5,2017-04
59,3,5,2017-06
60,1,5,2017-05
61,3,5,2017-02
62,1,5,2017-05
63,3,5,2017-04
64,1,5,2017-03
65,3,4,2017-02
65,3,4,2017-02
65,3,4,2017-02
65,3,4,2017-02
65,4,3,2017-06
65,4,3,2017-06
65,4,3,2017-06
65,4,3,2017-06
66,3,5,2017-04
67,3,5,2017-03
68,1,5,2017-03
69,3,5,2017-06
70,5,3,2017-05
71,1,5,2017-03
72,1,5,2017-04
73,3,5,2017-02
74,3,5,2017-04
75,3,4,2017-02
76,1,4,2017-02
77,3,5,2017-06
78,1,5,2017-06
79,3,5,2017-06
80,1,5,2017-05
81,5,4,2017-03
82,1,5,2017-01
83,4,5,2017-04
84,3,5,2017-06
85,3,5,2017-03
86,3,5,2017-02
87,3,5,2017-01
88,2,5,2017-03
89,3,4,2017-03
90,2,5,2017-03
91,3,5,2017-01
92,3,5,2017-01
93,3,5,2017-04
94,3,5,2017-01
95,3,5,2017-03
96,3,5,2017-04
97,3,5,2017-06
98,3,5,2017-04
99,1,5,2017-06
100,1,5,2017-05
101,3,4,2017-04
102,3,5,2017-04
103,1,5,2017-05
104,3,5,2017-02
105,3,5,2017-05
106,3,5,2017-04
107,3,5,2017-02
108,3,5,2017-03
109,1,4,2017-01
110,3,5,2017-06
111,3,5,2017-04
112,3,4,2017-04
112,4,5,2017-06
113,1,5,2017-05
114,1,5,2017-04
115,3,5,2017-06
116,3,5,2017-05
117,3,5,2017-01
118,3,5,2017-04
119,3,5,2017-02
120,3,5,2017-05
121,3,5,2017-04
122,3,4,2017-02
123,3,5,2017-01
124,1,5,2017-04
124,5,1,2017-05
125,1,5,2017-03
126,1,5,2017-03
127,3,5,2017-06
128,2,5,2017-05
129,1,4,2017-02
130,3,5,2017-03
131,1,5,2017-06
132,3,5,2017-03
133,3,5,2017-01
134,3,5,2017-02
135,3,5,2017-06
136,3,4,2017-04
137,2,4,2017-02
138,3,5,2017-06
139,3,5,2017-05
140,1,5,2017-03
141,1,5,2017-01
142,1,5,2017-06
143,3,5,2017-04
144,3,5,2017-04
145,3,5,2017-05
146,3,5,2017-01
147,1,5,2017-03
148,1,4,2017-04
149,3,5,2017-03
150,1,5,2017-05
151,3,5,2017-02
152,2,4,2017-01
153,4,5,2017-06
154,3,5,2017-03
155,3,4,2017-03
155,4,5,2017-05
156,1,5,2017-06
157,1,5,2017-01
158,2,3,2017-05
159,3,5,2017-01
160,1,4,2017-02
161,2,5,2017-04
162,5,3,2017-02
162,3,4,2017-03
163,3,5,2017-04
164,1,5,2017-04
164,5,1,2017-05
165,3,4,2017-04
166,1,5,2017-04
167,1,5,2017-06
168,3,5,2017-01
169,1,5,2017-04
170,3,5,2017-04
171,3,5,2017-06
172,3,5,2017-04
173,2,1,2017-05
174,3,5,2017-03
175,1,4,2017-03
176,3,5,2017-05
177,3,5,2017-02
178,3,5,2017-06
179,3,5,2017-01
180,3,5,2017-03
181,3,4,2017-02
182,4,5,2017-03
183,1,4,2017-01
184,3,5,2017-05
185,3,5,2017-05
186,3,5,2017-02
187,1,5,2017-01
187,4,5,2017-06
188,3,5,2017-01
189,3,5,2017-03
190,1,5,2017-04
191,1,5,2017-05
192,3,5,2017-06
193,2,5,2017-01
194,3,5,2017-04
194,5,3,2017-05
195,3,5,2017-01
196,3,5,2017-03
197,3,5,2017-02
198,3,5,2017-01
199,3,5,2017-04
200,3,5,2017-04
201,3,5,2017-05
202,4,5,2017-06
203,3,5,2017-02
204,4,5,2017-05
205,1,5,2017-02
206,3,5,2017-04
207,3,5,2017-05
208,1,4,2017-02
209,1,5,2017-05
210,1,5,2017-04
211,3,5,2017-05
212,3,5,2017-06
213,3,5,2017-04
214,3,4,2017-02
215,3,5,2017-03
216,3,5,2017-06
217,2,4,2017-02
218,1,5,2017-04
219,3,5,2017-03
220,1,5,2017-03
221,5,4,2017-02
222,3,5,2017-06
223,3,5,2017-04
224,3,5,2017-02
225,4,3,2017-01
226,4,5,2017-05
227,1,5,2017-02
228,3,5,2017-04
229,3,5,2017-06
230,1,5,2017-03
231,1,5,2017-05
232,3,5,2017-03
233,3,5,2017-01
234,4,5,2017-01
235,3,5,2017-01
236,3,5,2017-06
237,3,4,2017-03
238,3,4,2017-02
239,3,5,2017-04
240,3,5,2017-04
241,1,5,2017-06
242,4,5,2017-04
243,3,5,2017-04
244,3,5,2017-05
245,2,4,2017-03
246,3,5,2017-06
247,4,5,2017-05
248,3,5,2017-04
249,3,5,2017-02
250,3,4,2017-04
251,3,5,2017-04
252,1,5,2017-01
253,1,5,2017-03
254,3,5,2017-04
255,3,5,2017-02
256,3,5,2017-03
257,3,5,2017-03
258,2,5,2017-03
259,3,5,2017-04
260,1,5,2017-06
261,3,2,2017-01
262,4,5,2017-03
263,3,5,2017-04
264,2,4,2017-01
265,3,5,2017-05
266,3,5,2017-04
267,3,5,2017-01
268,1,5,2017-06
269,3,5,2017-05
270,3,5,2017-02
271,3,5,2017-01
272,4,3,2017-01
273,3,5,2017-03
274,1,5,2017-04
275,1,5,2017-04
276,3,5,2017-04
277,3,5,2017-03
278,1,5,2017-03
279,1,5,2017-06
280,3,5,2017-04
281,1,4,2017-02
282,3,5,2017-04
283,3,5,2017-05
284,3,4,2017-02
285,3,5,2017-02
286,1,4,2017-05
287,1,5,2017-05
288,3,5,2017-05
289,3,5,2017-02
290,3,5,2017-04
291,1,4,2017-01
292,1,4,2017-03
293,1,5,2017-02
294,3,5,2017-03
295,3,5,2017-06
296,2,5,2017-04
297,1,5,2017-03
298,3,5,2017-01
299,3,5,2017-04
300,3,5,2017-01
301,3,5,2017-03
302,3,5,2017-03
303,3,4,2017-01
304,3,5,2017-05
305,3,5,2017-05
306,1,5,2017-02
307,1,5,2017-06
308,4,5,2017-03
309,3,5,2017-04
310,1,5,2017-05
311,5,3,2017-04
311,3,5,2017-05
312,3,5,2017-06
313,3,5,2017-03
314,3,4,2017-02
314,4,5,2017-06
315,3,5,2017-04
316,3,5,2017-03
317,1,5,2017-03
318,3,5,2017-06
319,1,4,2017-03
320,3,5,2017-03
321,3,5,2017-02
322,4,5,2017-06
323,1,5,2017-05
324,1,4,2017-03
325,1,5,2017-01
326,1,5,2017-03
327,3,4,2017-02
327,3,4,2017-02
327,3,4,2017-02
327,3,4,2017-02
327,4,5,2017-03
327,4,5,2017-03
327,4,5,2017-03
327,4,5,2017-03
328,3,5,2017-05
329,2,5,2017-05
330,3,5,2017-04
331,3,4,2017-01
332,4,5,2017-06
333,3,4,2017-04
334,3,4,2017-01
334,4,5,2017-04
335,1,4,2017-03
336,1,5,2017-02
337,3,5,2017-06
338,1,3,2017-03
338,3,5,2017-04
339,5,4,2017-05
340,1,5,2017-06
341,4,5,2017-05
342,1,4,2017-03
343,1,4,2017-03
344,3,5,2017-05
345,3,5,2017-06
346,1,5,2017-03
347,3,5,2017-06
348,3,5,2017-02
349,1,4,2017-05
350,2,4,2017-02
351,3,4,2017-01
352,3,5,2017-04
353,3,5,2017-02
354,3,5,2017-01
355,3,5,2017-04
356,3,5,2017-03
357,3,4,2017-02
358,3,5,2017-02
359,3,4,2017-04
360,1,5,2017-05
361,3,5,2017-02
362,1,5,2017-02
363,3,5,2017-01
364,3,4,2017-04
364,4,5,2017-05
365,3,5,2017-02
366,3,4,2017-01
367,3,5,2017-02
368,1,5,2017-01
369,3,5,2017-04
370,3,5,2017-01
371,4,5,2017-02
372,3,5,2017-03
373,3,5,2017-04
374,3,5,2017-02
375,3,4,2017-05
376,1,4,2017-04
377,3,5,2017-01
377,3,5,2017-01
377,3,5,2017-01
377,3,5,2017-01
377,5,1,2017-02
377,5,1,2017-02
377,5,1,2017-02
377,5,1,2017-02
378,1,5,2017-01
379,3,5,2017-04
380,4,5,2017-01
380,5,1,2017-02
382,2,5,2017-05
383,3,4,2017-01
384,3,4,2017-02
385,1,5,2017-02
386,3,5,2017-01
387,2,4,2017-04
388,1,5,2017-06
389,4,5,2017-06
390,1,5,2017-06
391,3,5,2017-06
392,1,5,2017-01
392,5,1,2017-02
393,3,5,2017-03
394,3,5,2017-04
395,3,5,2017-01
396,3,5,2017-03
397,3,5,2017-05
398,3,5,2017-03
399,3,5,2017-05
400,3,5,2017-05
401,1,5,2017-05
402,3,5,2017-05
403,3,5,2017-02
404,3,5,2017-05
405,3,5,2017-05
406,4,1,2017-03
407,1,5,2017-05
408,1,5,2017-06
409,1,5,2017-04
410,3,5,2017-04
411,3,5,2017-06
412,3,5,2017-06
413,3,4,2017-03
414,1,5,2017-02
415,1,5,2017-03
416,3,5,2017-06
417,3,5,2017-01
418,3,5,2017-04
419,3,5,2017-01
420,3,5,2017-06
421,3,4,2017-03
422,4,5,2017-01
423,2,5,2017-06
424,3,5,2017-05
425,1,5,2017-05
426,3,5,2017-03
427,5,4,2017-03
428,3,4,2017-01
429,1,4,2017-01
430,2,5,2017-01
431,1,4,2017-01
432,1,5,2017-05
433,3,5,2017-04
434,3,5,2017-05
435,1,5,2017-06
436,1,3,2017-01
437,1,4,2017-01
438,3,5,2017-04
439,1,4,2017-01
440,3,5,2017-06
441,1,5,2017-01
441,5,3,2017-03
442,3,5,2017-06
443,1,5,2017-05
444,3,5,2017-05
445,3,5,2017-04
446,3,5,2017-04
447,3,5,2017-04
448,3,5,2017-02
449,1,4,2017-02
449,4,5,2017-03
450,1,5,2017-03
451,5,4,2017-03
452,3,5,2017-04
453,3,5,2017-05
454,1,5,2017-04
455,1,5,2017-06
456,1,5,2017-03
457,3,4,2017-04
458,3,5,2017-02
459,3,5,2017-03
460,4,5,2017-06
461,3,5,2017-06
462,1,4,2017-03
463,3,5,2017-06
464,1,5,2017-06
465,1,4,2017-01
466,3,4,2017-04
467,3,5,2017-03
468,3,4,2017-02
469,3,5,2017-06
470,1,5,2017-02
471,3,5,2017-03
472,3,5,2017-06
473,1,5,2017-01
474,3,5,2017-04
475,3,5,2017-01
476,2,5,2017-03
477,1,4,2017-02
478,3,4,2017-03
478,3,4,2017-03
478,3,4,2017-03
478,3,4,2017-03
478,4,5,2017-04
478,4,5,2017-04
478,4,5,2017-04
478,4,5,2017-04
479,3,5,2017-03
480,3,5,2017-02
481,1,5,2017-05
482,3,5,2017-06
483,1,4,2017-03
484,1,5,2017-02
485,1,5,2017-04
486,3,5,2017-02
487,1,5,2017-02
488,3,5,2017-06
489,2,5,2017-02
490,3,5,2017-03
491,3,5,2017-02
492,1,5,2017-04
493,3,5,2017-01
494,3,5,2017-04
495,3,4,2017-01
496,3,5,2017-06
497,4,5,2017-05
498,1,5,2017-05
499,3,5,2017-01
500,3,5,2017-05
501,1,5,2017-04
502,3,5,2017-05
503,3,5,2017-03
504,1,5,2017-02
505,3,5,2017-04
506,3,5,2017-03
507,3,5,2017-02
508,1,4,2017-01
509,3,5,2017-04
510,3,5,2017-05
511,3,5,2017-03
512,1,5,2017-02
513,3,4,2017-04
514,1,5,2017-01
515,3,5,2017-04
516,3,4,2017-02
516,4,5,2017-05
517,3,5,2017-01
518,4,2,2017-02
519,3,5,2017-05
520,1,5,2017-02
521,1,4,2017-02
522,3,5,2017-02
523,4,5,2017-04
524,3,5,2017-01
525,1,5,2017-03
526,3,5,2017-01
527,3,5,2017-06
528,3,5,2017-05
529,4,5,2017-03
530,1,5,2017-02
531,3,5,2017-05
532,1,4,2017-02
533,2,4,2017-02
534,1,5,2017-05
535,5,4,2017-03
536,1,5,2017-04
537,2,5,2017-05
538,3,5,2017-02
539,3,5,2017-02
540,3,5,2017-04
541,1,5,2017-06
542,3,5,2017-01
543,1,4,2017-02
544,3,5,2017-05
545,3,5,2017-04
546,1,5,2017-05
547,1,5,2017-02
548,3,5,2017-02
549,3,5,2017-04
550,1,4,2017-03
551,1,5,2017-04
552,3,5,2017-02
553,1,5,2017-02
554,1,5,2017-02
555,3,5,2017-03
556,3,5,2017-06
557,3,5,2017-04
558,1,5,2017-01
559,1,5,2017-03
560,3,5,2017-06
561,3,5,2017-06
562,3,5,2017-01
563,3,5,2017-04
564,1,5,2017-01
565,1,5,2017-06
566,1,5,2017-05
567,1,5,2017-01
568,1,5,2017-06
569,1,5,2017-02
570,3,5,2017-05
571,3,5,2017-01
572,1,5,2017-01
573,2,4,2017-02
574,1,5,2017-04
575,1,5,2017-05
576,3,5,2017-06
577,3,5,2017-03
578,1,5,2017-01
579,3,5,2017-01
580,1,4,2017-02
581,3,5,2017-01
582,1,5,2017-02
583,1,4,2017-02
584,3,5,2017-04
585,3,5,2017-04
586,1,5,2017-03
587,1,5,2017-06
588,4,5,2017-03
589,2,5,2017-04
590,1,5,2017-06
591,2,5,2017-03
592,3,1,2017-03
593,1,4,2017-02
594,3,5,2017-06
595,1,5,2017-06
596,1,5,2017-03
597,1,5,2017-05
598,1,5,2017-04
599,3,5,2017-03
599,5,3,2017-03
599,3,5,2017-04
600,3,5,2017-02
601,3,5,2017-04
602,3,5,2017-05
603,2,4,2017-04
604,3,5,2017-04
605,3,5,2017-03
606,2,5,2017-05
607,3,5,2017-05
608,3,5,2017-06
609,1,5,2017-02
610,1,4,2017-01
611,3,5,2017-06
612,3,5,2017-03
613,2,5,2017-06
614,1,5,2017-04
615,1,5,2017-05
616,1,4,2017-02
617,2,5,2017-06
618,3,5,2017-01
619,1,5,2017-05
620,1,5,2017-04
621,3,5,2017-02
622,3,4,2017-02
622,4,3,2017-04
623,3,5,2017-05
624,2,5,2017-02
625,1,5,2017-05
626,1,5,2017-02
627,2,5,2017-02
628,1,5,2017-03
629,3,5,2017-01
630,2,5,2017-03
631,3,5,2017-06
632,1,5,2017-04
633,4,1,2017-04
634,1,5,2017-04
635,3,4,2017-03
636,3,5,2017-04
637,3,5,2017-02
638,3,5,2017-06
639,1,5,2017-05
640,2,5,2017-05
641,1,5,2017-05
642,3,5,2017-06
643,3,5,2017-04
644,2,5,2017-02
645,3,5,2017-02
646,3,4,2017-01
646,4,5,2017-04
647,1,5,2017-01
648,3,5,2017-03
649,3,5,2017-03
650,1,5,2017-05
651,1,5,2017-03
652,3,5,2017-04
653,1,5,2017-06
654,1,5,2017-02
655,1,5,2017-05
656,1,4,2017-01
656,4,5,2017-03
657,1,5,2017-04
658,1,5,2017-04
659,3,5,2017-06
660,1,5,2017-05
661,3,5,2017-06
662,3,5,2017-03
663,2,5,2017-03
664,3,5,2017-02
665,1,5,2017-06
666,1,5,2017-06
667,3,5,2017-05
668,3,5,2017-05
669,3,5,2017-02
670,1,4,2017-02
671,1,3,2017-01
672,3,5,2017-04
673,1,5,2017-02
674,3,4,2017-02
675,2,4,2017-02
676,1,5,2017-04
677,5,3,2017-01
678,3,5,2017-06
679,1,5,2017-03
680,1,5,2017-02
681,3,5,2017-04
682,1,4,2017-01
683,4,5,2017-04
684,1,5,2017-06
685,2,5,2017-01
686,3,5,2017-06
687,4,3,2017-02
688,3,5,2017-04
689,3,5,2017-01
690,3,5,2017-06
691,3,5,2017-04
692,3,5,2017-03
693,3,5,2017-04
694,1,5,2017-06
695,2,5,2017-02
696,1,5,2017-06
697,1,5,2017-04
698,3,5,2017-06
699,2,4,2017-04
700,3,5,2017-03
701,3,5,2017-05
702,4,5,2017-06
703,3,5,2017-03
704,3,5,2017-04
705,2,5,2017-03
706,2,4,2017-02
707,1,4,2017-01
708,3,5,2017-05
709,1,5,2017-01
710,3,5,2017-03
711,1,5,2017-04
712,1,5,2017-03
713,1,5,2017-02
714,4,3,2017-01
715,3,5,2017-03
716,3,5,2017-04
717,4,1,2017-05
718,3,5,2017-01
719,2,5,2017-03
720,3,4,2017-02
721,1,4,2017-05
722,2,5,2017-03
723,1,5,2017-01
724,1,5,2017-01
725,2,5,2017-02
726,3,5,2017-06
727,2,4,2017-02
728,1,5,2017-01
729,3,5,2017-01
730,1,5,2017-04
731,1,5,2017-03
732,1,5,2017-03
733,3,4,2017-04
734,3,5,2017-04
735,1,5,2017-02
736,1,5,2017-01
737,2,5,2017-04
738,1,4,2017-03
739,1,5,2017-04
740,3,5,2017-03
741,2,5,2017-05
742,3,1,2017-02
743,3,4,2017-01
744,3,5,2017-02
745,3,5,2017-04
746,3,5,2017-05
747,3,5,2017-01
748,1,4,2017-01
749,3,5,2017-04
750,3,5,2017-01
751,2,5,2017-05
752,1,5,2017-04
753,3,4,2017-02
754,2,5,2017-05
755,3,5,2017-05
756,1,5,2017-06
757,1,4,2017-01
758,2,5,2017-01
759,3,5,2017-05
760,3,5,2017-05
761,1,5,2017-05
762,3,5,2017-02
763,3,5,2017-03
764,1,5,2017-01
765,1,5,2017-05
766,2,4,2017-01
767,1,5,2017-04
768,1,5,2017-06
769,3,5,2017-02
770,3,5,2017-03
771,3,5,2017-05
772,3,5,2017-05
773,2,5,2017-04
774,2,5,2017-01
775,1,5,2017-01
776,1,5,2017-05
777,4,5,2017-01
778,1,5,2017-05
779,3,5,2017-05
780,1,4,2017-02
781,1,5,2017-02
782,1,5,2017-05
783,3,5,2017-04
784,1,5,2017-05
785,3,5,2017-06
786,3,5,2017-05
787,3,5,2017-05
788,1,5,2017-04
789,3,5,2017-03
790,3,5,2017-03
791,3,1,2017-03
792,1,5,2017-06
793,2,5,2017-01
794,2,4,2017-02
795,2,5,2017-06
796,1,5,2017-04
797,3,5,2017-05
798,3,5,2017-05
799,5,4,2017-03
799,4,5,2017-06
800,1,4,2017-01
800,4,5,2017-04
801,4,5,2017-06
802,2,5,2017-04
803,3,5,2017-06
804,3,5,2017-02
805,3,5,2017-05
806,3,5,2017-01
807,1,5,2017-03
808,3,5,2017-04
809,3,5,2017-05
810,1,5,2017-03
811,3,5,2017-03
812,3,5,2017-06
813,1,3,2017-06
814,2,4,2017-01
815,3,5,2017-02
816,3,5,2017-04
817,3,5,2017-03
818,3,5,2017-02
819,2,5,2017-05
820,1,5,2017-01
821,1,4,2017-04
822,1,3,2017-06
823,3,5,2017-04
824,1,4,2017-02
825,3,5,2017-01
826,1,5,2017-05
827,2,5,2017-01
828,1,5,2017-05
829,2,5,2017-04
830,1,5,2017-05
831,1,5,2017-03
832,3,5,2017-04
833,3,5,2017-03
834,3,5,2017-03
835,1,5,2017-04
836,1,5,2017-01
837,1,5,2017-04
838,3,4,2017-03
839,1,5,2017-06
840,3,5,2017-01
841,3,5,2017-05
842,2,5,2017-05
843,1,5,2017-01
844,3,4,2017-06
845,2,5,2017-05
846,3,5,2017-06
847,1,4,2017-02
848,2,5,2017-05
849,3,4,2017-01
849,4,5,2017-01
850,3,4,2017-02
851,1,5,2017-02
852,1,4,2017-01
852,4,5,2017-02
853,3,5,2017-03
854,3,5,2017-06
855,3,4,2017-01
855,4,5,2017-03
856,1,5,2017-05
857,3,5,2017-05
858,1,5,2017-03
859,2,5,2017-03
860,3,5,2017-01
861,1,5,2017-06
862,3,5,2017-05
863,3,5,2017-01
864,3,5,2017-05
865,1,5,2017-01
865,5,4,2017-03
866,3,5,2017-03
867,3,5,2017-05
868,1,5,2017-04
869,3,5,2017-06
870,2,4,2017-03
871,1,5,2017-05
872,3,4,2017-03
872,4,1,2017-05
873,1,5,2017-05
874,3,4,2017-01
875,3,5,2017-04
876,4,5,2017-04
877,1,3,2017-01
878,1,5,2017-01
879,1,5,2017-03
880,1,5,2017-02
881,3,4,2017-03
882,1,5,2017-03
883,3,5,2017-04
884,3,4,2017-01
885,3,5,2017-06
886,1,4,2017-04
887,5,4,2017-03
888,1,5,2017-06
889,1,4,2017-04
890,3,5,2017-01
891,3,5,2017-05
892,3,5,2017-06
893,2,3,2017-03
894,3,5,2017-01
895,3,5,2017-06
896,1,5,2017-06
897,5,4,2017-02
898,3,5,2017-06
899,3,5,2017-01
900,1,5,2017-02
901,1,5,2017-02
902,2,5,2017-02
903,3,5,2017-01
904,3,5,2017-02
905,3,5,2017-02
906,2,5,2017-03
907,1,5,2017-01
908,1,5,2017-05
909,1,5,2017-01
910,2,1,2017-01
911,1,5,2017-01
912,2,5,2017-03
913,3,5,2017-06
914,1,5,2017-04
915,3,4,2017-04
916,2,5,2017-02
917,3,5,2017-03
918,3,5,2017-06
919,3,5,2017-02
920,1,5,2017-06
921,1,3,2017-04
922,1,5,2017-05
923,2,5,2017-05
924,2,5,2017-03
925,3,5,2017-05
926,1,5,2017-04
927,1,5,2017-05
928,1,5,2017-06
929,1,5,2017-01
930,3,5,2017-03
931,3,4,2017-03
932,3,5,2017-01
933,1,5,2017-06
934,1,5,2017-05
935,4,1,2017-02
935,1,5,2017-05
936,1,4,2017-03
937,1,4,2017-03
938,3,5,2017-05
939,1,5,2017-05
939,5,1,2017-05
940,2,5,2017-05
941,3,5,2017-06
942,1,3,2017-02
943,3,5,2017-04
944,1,5,2017-06
945,3,5,2017-04
946,3,5,2017-05
947,3,5,2017-02
948,2,5,2017-04
949,1,5,2017-06
950,1,5,2017-05
951,1,5,2017-04
952,1,5,2017-03
953,3,5,2017-03
954,2,5,2017-06
955,3,5,2017-06
956,1,5,2017-02
957,1,5,2017-03
958,3,5,2017-02
959,4,2,2017-06
960,2,5,2017-01
961,2,5,2017-02
962,3,5,2017-02
963,1,5,2017-05
964,3,5,2017-03
965,1,4,2017-04
966,3,5,2017-05
967,1,5,2017-02
968,3,5,2017-03
969,1,4,2017-03
970,2,5,2017-06
971,2,5,2017-02
972,3,5,2017-03
973,3,4,2017-04
974,1,5,2017-04
975,1,5,2017-05
976,3,5,2017-01
977,3,5,2017-06
978,3,5,2017-04
979,2,4,2017-02
980,3,5,2017-04
981,3,5,2017-04
982,1,5,2017-02
983,3,5,2017-06
984,2,5,2017-05
985,1,4,2017-02
986,1,5,2017-06
987,3,5,2017-02
988,1,5,2017-01
989,5,1,2017-01
989,1,5,2017-02
990,3,5,2017-05
991,3,5,2017-04
992,1,5,2017-03
993,3,5,2017-06
994,3,5,2017-06
995,1,5,2017-05
996,1,5,2017-01
997,1,4,2017-01
997,4,1,2017-01
998,1,5,2017-02
999,3,5,2017-06
1000,3,5,2017-06
1001,1,5,2017-05
1002,3,5,2017-02
1003,2,5,2017-04
1004,1,5,2017-06
1005,3,5,2017-04
1006,3,5,2017-06
1007,3,5,2017-05
1008,3,5,2017-05
1009,3,5,2017-03
1009,5,1,2017-05
1010,3,5,2017-01
1011,2,5,2017-06
1012,3,5,2017-04
1013,1,5,2017-02
1014,1,5,2017-01
1015,3,5,2017-02
1016,3,5,2017-05
1017,1,5,2017-04
1018,3,5,2017-06
1019,2,5,2017-03
1020,3,5,2017-03
1021,1,5,2017-01
1021,5,1,2017-04
1022,1,5,2017-03
1023,3,5,2017-02
1024,1,3,2017-04
1025,3,1,2017-01
1026,1,4,2017-03
1027,3,5,2017-05
1028,3,5,2017-04
1029,1,5,2017-06
1030,1,5,2017-04
1031,3,4,2017-03
1032,3,5,2017-05
